k.keyword,p.year
optimization_problem,2005
optimization_problem,2009
optimization_problem,2010
optimization_problem,2006
optimization_problem,2009
optimization_problem,2008
optimization_problem,2002
optimization_problem,2011
optimization_problem,2004
optimization_problem,2005
optimization_problem,2011
optimization_problem,2008
optimization_problem,2010
optimization_problem,2008
optimization_problem,2007
optimization_problem,2005
optimization_problem,2011
optimization_problem,2010
optimization_problem,2011
optimization_problem,2005
optimization_problem,2004
optimization_problem,2003
optimization_problem,2011
optimization_problem,2010
optimization_problem,2008
optimization_problem,2008
optimization_problem,2010
optimization_problem,2008
optimization_problem,2008
optimization_problem,2010
optimization_problem,2009
optimization_problem,2009
optimization_problem,2010
optimization_problem,2005
optimization_problem,2005
optimization_problem,2010
optimization_problem,2010
optimization_problem,2011
optimization_problem,2009
optimization_problem,2009
optimization_problem,2008
optimization_problem,2005
optimization_problem,2008
optimization_problem,2008
optimization_problem,2009
optimization_problem,2007
optimization_problem,2009
optimization_problem,2007
optimization_problem,2011
optimization_problem,2011
optimization_problem,2007
optimization_problem,2010
optimization_problem,2008
optimization_problem,2009
optimization_problem,1994
optimization_problem,2010
optimization_problem,2011
optimization_problem,2007
optimization_problem,2007
optimization_problem,2011
optimization_problem,2007
optimization_problem,2005
optimization_problem,2009
optimization_problem,2011
optimization_problem,2009
optimization_problem,2007
optimization_problem,2010
optimization_problem,2005
optimization_problem,2005
optimization_problem,2008
optimization_problem,2008
optimization_problem,2005
optimization_problem,2010
optimization_problem,2007
optimization_problem,2011
optimization_problem,2007
optimization_problem,2005
optimization_problem,2003
optimization_problem,2005
optimization_problem,2005
optimization_problem,2011
optimization_problem,2010
optimization_problem,2010
optimization_problem,2011
optimization_problem,2008
optimization_problem,2011
optimization_problem,2009
optimization_problem,2011
optimization_problem,2010
optimization_problem,2005
optimization_problem,2005
optimization_problem,2005
optimization_problem,2006
optimization_problem,2009
optimization_problem,2010
optimization_problem,1999
optimization_problem,2005
optimization_problem,2007
optimization_problem,2008
optimization_problem,2006
optimization_problem,2007
optimization_problem,2006
optimization_problem,2007
optimization_problem,2004
optimization_problem,2007
optimization_problem,2005
optimization_problem,2003
optimization_problem,2005
optimization_problem,2010
optimization_problem,2007
optimization_problem,2005
optimization_problem,2009
optimization_problem,2005
optimization_problem,2009
optimization_problem,2010
optimization_problem,2003
optimization_problem,2006
optimization_problem,2010
optimization_problem,2004
optimization_problem,2009
optimization_problem,2005
optimization_problem,2009
optimization_problem,2005
optimization_problem,2009
optimization_problem,2010
optimization_problem,2003
optimization_problem,2007
optimization_problem,2007
optimization_problem,2009
optimization_problem,2010
optimization_problem,2010
optimization_problem,2010
optimization_problem,2010
optimization_problem,2008
optimization_problem,2007
optimization_problem,2012
optimization_problem,2009
optimization_problem,2007
optimization_problem,2009
optimization_problem,2001
optimization_problem,2009
optimization_problem,2005
optimization_problem,2010
optimization_problem,2009
optimization_problem,2009
optimization_problem,1999
optimization_problem,2008
optimization_problem,2004
optimization_problem,2007
optimization_problem,2006
optimization_problem,2005
optimization_problem,2005
optimization_problem,2009
optimization_problem,2009
optimization_problem,2009
optimization_problem,2006
optimization_problem,2009
optimization_problem,1999
optimization_problem,2010
optimization_problem,2010
optimization_problem,2000
optimization_problem,2009
optimization_problem,2004
optimization_problem,2009
optimization_problem,2011
optimization_problem,2008
optimization_problem,2010
optimization_problem,2006
optimization_problem,2007
optimization_problem,2008
optimization_problem,2008
optimization_problem,2008
optimization_problem,2009
optimization_problem,2009
optimization_problem,2009
optimization_problem,2009
optimization_problem,2008
optimization_problem,2010
optimization_problem,2002
optimization_problem,2004
optimization_problem,2010
optimization_problem,2003
optimization_problem,2009
optimization_problem,2008
optimization_problem,2007
optimization_problem,2007
optimization_problem,2011
optimization_problem,2008
optimization_problem,2005
optimization_problem,2002
optimization_problem,2010
